,LGA,Population
0,alpine,19245
1,ballarat,119244
2,banyule,128964
3,basscoast,43355
4,bawbaw,61594
5,bayside,103469
6,benalla,56894
7,boroondara,173601
8,brimbank,196394
9,buloke,5768
10,campaspe,48950
11,cardinia,130594
12,casey,400588
13,centralgoldfields,34032
14,colacotway,38010
15,darebin,155737
16,eastgippsland,49563
17,frankston,142891
18,gleneira,155601
19,glenelg,36092
20,goldenplains,25879
21,greaterbendigo,125481
22,greaterdandenong,162431
23,greatergeelong,289966
24,greatershepparton,69828
25,hindmarsh,5240
26,hobsonsbay,93133
27,horsham,20136
28,hume,267102
29,indigo,17436
30,kingston,163257
31,knox,161001
32,latrobe,78165
33,loddon,7483
34,macedonranges,53260
35,manningham,128475
36,maribyrnong,94716
37,maroondah,117354
38,melbourne,180197
39,melton,212948
40,merribek,182141
41,mildura,57531
42,mitchell,82014
43,monash,200465
44,mooneevalley,126744
45,moorabool,56646
46,morningtonpeninsula,171862
47,moyne,17354
48,northerngrampians,23380
49,portphillip,111497
50,pyrenees,7438
51,southgippsland,30879
52,stonnington,113064
53,surfcoast,40160
54,swanhill,20863
55,wangaratta,29978
56,warrnambool,35596
57,wellington,46124
58,westwimmera,3608
59,whitehorse,177030
60,whittlesea,312770
61,wodonga,44536
62,wyndham,333694
63,yarra,98899
64,yarraranges,159206
65,yarriambiack,6053
